event at 1712306317.469072, code 00, type 00, val 06
event at 1712306317.469072, code 00, type 00, val 00
event at 1712306317.477032, code 00, type 00, val 06
event at 1712306317.477032, code 00, type 00, val 00
event at 1712306317.485070, code 00, type 00, val 06
event at 1712306317.485070, code 00, type 00, val 00
event at 1712306317.493030, code 00, type 00, val 06
event at 1712306317.493030, code 00, type 00, val 00
event at 1712306317.501095, code 00, type 00, val 05
event at 1712306317.501095, code 00, type 00, val 00
event at 1712306317.509031, code 00, type 00, val 05
event at 1712306317.509031, code 00, type 00, val 00
event at 1712306317.517031, code 00, type 00, val 06
event at 1712306317.517031, code 00, type 00, val 00
event at 1712306317.525152, code 00, type 00, val 06
event at 1712306317.525152, code 00, type 00, val 00
event at 1712306317.533114, code 00, type 00, val 06
event at 1712306317.533114, code 00, type 00, val 00
event at 1712306317.541037, code 00, type 00, val 07
event at 1712306317.541037, code 00, type 00, val 00
event at 1712306317.549076, code 00, type 00, val 06
event at 1712306317.549076, code 00, type 00, val 00
event at 1712306317.557073, code 00, type 00, val 06
event at 1712306317.557073, code 00, type 00, val 00
event at 1712306317.565150, code 00, type 00, val 06
event at 1712306317.565150, code 00, type 00, val 00
event at 1712306317.573030, code 00, type 00, val 06
event at 1712306317.573030, code 00, type 00, val 00
event at 1712306317.581070, code 00, type 00, val 06
event at 1712306317.581070, code 00, type 00, val 00
event at 1712306317.589070, code 00, type 00, val 07
event at 1712306317.589070, code 00, type 00, val 00
event at 1712306317.597046, code 00, type 00, val 07
event at 1712306317.597046, code 00, type 00, val 00
event at 1712306317.605076, code 00, type 00, val 07
event at 1712306317.605076, code 00, type 00, val 00
event at 1712306317.613071, code 00, type 00, val 07
event at 1712306317.613071, code 00, type 00, val 00
event at 1712306317.621063, code 00, type 00, val 07
event at 1712306317.621063, code 00, type 00, val 00
event at 1712306317.629155, code 00, type 00, val 07
event at 1712306317.629155, code 00, type 00, val 00
event at 1712306317.637161, code 00, type 00, val 08
event at 1712306317.637161, code 00, type 00, val 00
event at 1712306317.645034, code 00, type 00, val 07
event at 1712306317.645034, code 00, type 00, val 00
