,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,Binary,Protocol,Service,Application,Webpage,Action,Activity
20,20,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,43017,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712306400970,1712306400970,0,1,88,1712306400970,1712306400970,0,1,88,0,0,0,0,0,88,88.0,0.0,88,88,88.0,0.0,88,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,contile.services.mozilla.com,,,,,Normal,UDP,domain,DNS,contile.services.mozilla.com,Open Firefox app,Network
21,21,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,56217,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712306402030,1712306402030,0,1,85,1712306402030,1712306402030,0,1,85,0,0,0,0,0,85,85.0,0.0,85,85,85.0,0.0,85,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,push.services.mozilla.com,,,,,Normal,UDP,domain,DNS,push.services.mozilla.com,Open Firefox app,Network
22,22,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,58989,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712306402031,1712306402031,0,1,85,1712306402031,1712306402031,0,1,85,0,0,0,0,0,85,85.0,0.0,85,85,85.0,0.0,85,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,push.services.mozilla.com,,,,,Normal,UDP,domain,DNS,push.services.mozilla.com,Open Firefox app,Network
23,23,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,43515,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712306402645,1712306402645,0,1,90,1712306402645,1712306402645,0,1,90,0,0,0,0,0,90,90.0,0.0,90,90,90.0,0.0,90,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,incoming.telemetry.mozilla.org,,,,,Normal,UDP,domain,DNS,incoming.telemetry.mozilla.org,Open Firefox app,Network
24,24,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,44050,216.58.214.164,00:0c:29:6d:3c:ad,00:0c:29,443,17,4,0,0,1712306405676,1712306407079,1403,52,16753,1712306405676,1712306406889,1213,21,3743,1712306405883,1712306407079,1196,31,13010,68,322.173076923077,451.2807361170505,1399,72,178.23809523809524,286.12460655488974,1399,68,419.67741935483866,517.0183998722401,1399,0,27.509803921568636,49.90926669428018,207,0,60.650000000000006,59.965143383907886,208,0,39.866666666666674,70.54992525880512,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,0,6,www.google.com,b719940c5ab9a3373cb4475d8143ff88,,,,Normal,UDP,https,QUIC.Google,www.google.com,Click on Firefox url bar,Web
25,25,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,44212,142.250.201.163,00:0c:29:6d:3c:ad,00:0c:29,80,6,4,0,0,1712306406307,1712306521898,115591,34,3085,1712306406307,1712306521898,115591,18,1515,1712306406332,1712306521886,115554,16,1570,54,90.73529411764706,138.19645849593962,756,60,84.16666666666669,99.09131261263076,481,54,98.125,175.4361707288437,756,0,3502.757575757576,4838.751362892491,10248,1,6799.470588235294,4797.691751218066,10249,1,7703.6,4508.904757730608,11045,2,0,0,0,33,3,0,2,1,0,0,0,17,1,0,1,1,0,0,0,16,2,0,1,HTTP.OCSP,Cloud,0,6,ocsp.pki.goog,,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0,application/ocsp-response,Normal,TCP,http,HTTP.OCSP,ocsp.pki.goog,Click on Firefox url bar,Cloud
26,26,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,53206,95.100.133.146,00:0c:29:6d:3c:ad,00:0c:29,80,6,4,0,0,1712306406317,1712306522906,116589,46,7868,1712306406317,1712306522906,116589,24,3122,1712306406332,1712306522892,116560,22,4746,54,171.0434782608695,268.50962792766865,943,60,130.08333333333331,158.50824053922426,477,54,215.72727272727272,350.6674156000759,943,0,2590.866666666667,4393.253901774235,10247,1,5069.08695652174,5047.075119791872,10247,2,5550.476190476191,5123.774278976852,11053,2,0,0,0,45,9,0,2,1,0,0,0,23,4,0,1,1,0,0,0,22,5,0,1,HTTP.OCSP,Network,0,6,r3.o.lencr.org,,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0,application/ocsp-response,Normal,TCP,http,HTTP.OCSP,r3.o.lencr.org,Click on Firefox url bar,Network
27,27,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,58712,95.100.133.139,00:0c:29:6d:3c:ad,00:0c:29,80,6,4,0,0,1712306407153,1712306522906,115753,34,3268,1712306407153,1712306522906,115753,18,1511,1712306407171,1712306522892,115721,16,1757,54,96.11764705882356,166.0530701414063,943,60,83.94444444444443,98.14902967499876,477,54,109.8125,222.1855737141065,943,0,3507.6666666666665,4845.216795115227,10251,19,6809.0,4803.777016577684,10251,22,7714.733333333334,4515.682300394397,11206,2,0,0,0,33,3,0,2,1,0,0,0,17,1,0,1,1,0,0,0,16,2,0,1,HTTP.OCSP,Network,0,6,r3.o.lencr.org,,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0,application/ocsp-response,Normal,TCP,http,HTTP.OCSP,r3.o.lencr.org,Click on Firefox url bar,Network
28,28,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,35342,34.120.208.123,00:0c:29:6d:3c:ad,00:0c:29,443,6,4,0,0,1712306407707,1712306407893,186,19,5444,1712306407707,1712306407893,186,10,1119,1712306407726,1712306407893,167,9,4325,54,286.52631578947364,781.1846679115745,3487,60,111.90000000000002,80.84477582242268,265,54,480.55555555555554,1133.683058785734,3487,0,10.333333333333334,17.506301386509207,62,0,20.666666666666668,24.92990172463582,62,0,20.875,35.790810871746714,107,2,0,0,0,17,7,1,2,1,0,0,0,8,4,1,1,1,0,0,0,9,3,0,1,TLS,Web,0,6,incoming.telemetry.mozilla.org,fb0aa01abe9d8e4037eb3473ca6e2dca,9d9ce860f1b1cbef07b019450cb368d8,,,Normal,TCP,https,TLS,incoming.telemetry.mozilla.org,Click on Firefox url bar,Web
29,29,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,49214,192.229.221.95,00:0c:29:6d:3c:ad,00:0c:29,80,6,4,0,0,1712306407821,1712306522906,115085,34,3117,1712306407821,1712306522906,115085,18,1512,1712306407841,1712306522892,115051,16,1605,54,91.6764705882353,143.09071515274272,791,60,84.0,98.38459946437098,478,54,100.31250000000004,184.1860359346857,791,0,3487.4242424242425,4846.182370112989,10268,1,6769.705882352941,4833.972612726331,10269,1,7670.066666666667,4560.286229529687,11078,2,0,0,0,33,3,0,2,1,0,0,0,17,1,0,1,1,0,0,0,16,2,0,1,HTTP.OCSP,Network,0,6,ocsp.digicert.com,,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0,application/ocsp-response,Normal,TCP,http,HTTP.OCSP,ocsp.digicert.com,Click on Firefox url bar,Network
